# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00001000   ---        --------
               6   N   00001000   0000e101   00001004   x10_a0     00000000
               7   N   00001004   00004e01   00001006   ---        --------
               8   N   00001006   fffff297   00001008   x28_t3     00000000
               9   N   00001008   4f828293   0000100c   x05_t0     00000008
              10   N   0000100c   30529073   00001010   x05_t0     00000500
              11   N   00001010   00004505   00001014   ---        --------
              12   N   00001014   0000057e   00001016   x10_a0     00000001
              13   N   00001016   00054863   00001018   x10_a0     80000000
              14   N   00001018   0ff0000f   00001028   ---        --------
              17   N   00001028   00028f63   0000102c   x05_t0     00000000
              18   N   0000102c   10529073   0000104a   ---        --------
              22   N   0000104a   00006509   0000104e   ---        --------
              23   N   0000104e   00006509   0000104e   ---        --------
              24   N   0000104e   80050513   00001050   x10_a0     00002000
              25   N   00001050   30052073   00001054   x10_a0     00001800
              26   N   00001054   00000297   00001058   ---        --------
              27   N   00001058   00000297   00001058   ---        --------
              28   N   00001058   6c628293   0000105c   x05_t0     00001058
              29   N   0000105c   34129073   00001060   x05_t0     0000171e
              30   N   00001060   f1402573   00001064   ---        --------
              31   N   00001064   30200073   00001068   x10_a0     00000000
              33   N   00001068   00000000   0000171e   ---        --------
              36   N   0000171e   00200e13   00001720   ---        --------
              37   N   00001720   00000000   00001724   x28_t3     00000002
              38   E   00001724   00000000   00000500   mstatus    00001800
              38   E   00001724   00000000   00000500   mepc       00001724
              38   E   00001724   00000000   00000500   mcause     00000002
              38   E   00001724   00000000   00000500   mtval      00000000
              41   N   00000500   000047a1   00000504   x14_a4     00000002
              42   N   00000504   04f70263   00000506   x15_a5     00000008
              43   N   00000506   000047a5   0000050a   ---        --------
              44   N   0000050a   02f70f63   0000050c   x15_a5     00000009
              45   N   0000050c   000047ad   00000510   ---        --------
              46   N   00000510   02f70c63   00000512   x15_a5     0000000b
              47   N   00000512   47ad0837   00000516   ---        --------
              49   N   00000516   02f71897   0000051a   x16_a6     f0000000
              51   N   0000051a   f0008893   0000051e   x17_a7     0000151a
              53   N   0000051e   00008783   00000522   x17_a7     00001700
              56   N   00000522   0000c791   00000526   x15_a5     00000049
              57   N   00000526   00f82023   00000528   ---        --------
              59   N   00000528   00000885   0000052c   ---        --------
              60   N   0000052c   ff5ff06f   0000052e   x17_a7     00001701
              61   N   0000052e   08851717   00000522   ---        --------
              66   N   00000522   0000c791   00000526   x15_a5     0000006c
              67   N   00000526   00f82023   00000528   ---        --------
              69   N   00000528   00000885   0000052c   ---        --------
              70   N   0000052c   ff5ff06f   0000052e   x17_a7     00001702
              71   N   0000052e   08851717   00000522   ---        --------
              76   N   00000522   0000c791   00000526   x15_a5     0000006c
              77   N   00000526   00f82023   00000528   ---        --------
              79   N   00000528   00000885   0000052c   ---        --------
              80   N   0000052c   ff5ff06f   0000052e   x17_a7     00001703
              81   N   0000052e   08851717   00000522   ---        --------
              86   N   00000522   0000c791   00000526   x15_a5     00000065
              87   N   00000526   00f82023   00000528   ---        --------
              89   N   00000528   00000885   0000052c   ---        --------
              90   N   0000052c   ff5ff06f   0000052e   x17_a7     00001704
              91   N   0000052e   08851717   00000522   ---        --------
              96   N   00000522   0000c791   00000526   x15_a5     00000067
              97   N   00000526   00f82023   00000528   ---        --------
